id,created_at,name,price,unit,category
009b8865-9e21-4a52-aa01-4c2e6e43ef36,2026-02-18 16:28:21.897594+00,Kamoteng Kahoy,80,kg,Vegetables
03628b1c-005f-4fd3-b61e-b7fa80f76ccd,2026-02-18 16:29:46.084777+00,Leeks,150,Kg.,Vegetables
03bdab51-6735-4b8b-8e84-e769340ed320,2026-02-18 16:18:19.064424+00,Navel Orange,50,pc,Fruits
04f3a06b-aa6b-4c8d-bf18-04f0c9e8cd23,2026-05-26 10:19:02.451034+00,Latundan,130,Kg,Fruits
08e03cb3-67a0-432c-be45-f65a36c6f4dd,2026-05-13 06:40:19.272141+00,Latundan,110,Kg,Fruits
0ae7d8d4-fb84-4f8a-819f-7db668cd6545,2026-02-26 06:15:52.506118+00,"Pakwan seedless ",100,Kg,Fruits
0c670fbd-e3ea-4922-b116-fd0dd4ea490e,2026-02-19 01:27:06.065218+00,Wansoy,800,kg,Vegetables
0d69d619-cfaa-4542-a6f3-a4a7b91731b7,2026-04-16 06:24:52.604455+00,Papaya hinog,75,Kg,Fruits
1065293e-65a4-452b-8451-ac09402c83fd,2026-05-07 02:03:59.792632+00,Spinach local(From farm),30,Tali,Vegetables
11a7cc74-9c50-4e7a-89d1-c654b3bdf754,2026-05-28 06:33:15.581909+00,"Watermelon seedless ",90,Kg,Fruits
13ca504d-7f1f-4034-9401-418df2334141,2026-02-18 16:31:09.955899+00,Mustasa,150,kg,Vegetables
1512258e-070b-4598-947e-005fe3476b38,2026-03-04 00:14:52.387436+00,Bokchoy,150,Kg,Vegetables
1798639a-64da-4e67-b750-d812364232db,2026-02-26 03:53:19.706337+00,Strawberry,130,pack,Fruits
19a0b574-8585-4eef-aa16-bceff3f8dd19,2026-02-18 16:24:43.369847+00,Bulaklak ng Kalabasa,40,tali,Vegetables
19caec88-5fc3-4365-9fd1-4b706f4a2936,2026-02-19 01:32:21.305052+00,Wrapper Lumpia (Small),55,bundle,Food
1a13b844-cd6b-432b-8b23-dca7d8aa361f,2026-02-19 01:30:58.654433+00,Salted Egg,24,pc,Food
1c17c130-bf7d-4f83-b061-bf76979e23ca,2026-02-18 16:27:12.147931+00,Iceberg Lettuce,190,pack,Vegetables
1dc41ac3-9802-45fd-9a3f-7a697c591bc2,2026-05-13 06:41:37.444456+00,Tokwa,10,Pc,Food
1e2be307-ff0e-41eb-9874-5aa9c2c9c320,2026-05-26 03:34:26.385812+00,Glutinous rice flour,520,Kg,Food
1eb04a7e-ab0e-48b3-a0f5-16637592c9ff,2026-02-18 16:27:27.322701+00,Kalamansi,150,kg,Vegetables
1f7b6861-5b50-427a-aa6b-0ca4fc64f5a8,2026-02-18 16:27:39.143466+00,Kalabasa,80,kg,Vegetables
20c45a1e-2b5f-4733-a382-f005f911d532,2026-05-26 03:22:12.547324+00,"Lanka hinog ",160,Kg,"Fruits "
246b0f44-9fa7-4f1e-8722-4e2dd16fc432,2026-02-18 16:22:51.474773+00,Ampalaya,160,kg,Vegetables
28485d7c-e235-4ba1-a308-025a8975eaa4,2026-02-18 16:33:00.693383+00,Petchay Baguio,110,kg,Vegetables
2861cb3b-3abc-42c5-b5ef-ae6c052d9df4,2026-02-26 06:18:43.304745+00,Piña,150,Pc,Fruits
2db9049d-3e21-4ee6-96dc-59307f126858,2026-05-26 04:00:01.490876+00,Mustasa,30,Tali,"Vegetables "
30cd0a56-808c-4119-a9c4-871b0c74cce5,2026-02-18 16:32:42.89057+00,Patatas,120,kg,Vegetables
379f0c30-3898-4abd-b97b-eaf6c14eb76d,2026-02-18 16:23:02.44522+00,Baguio Beans,190,kg,Vegetables
3970635d-9d87-42bb-a4d9-91cddedcb9af,2026-02-18 16:25:55.864706+00,Dahon ng Ampalaya,30,pack,Vegetables
3b0e2734-7e97-490b-b4dd-160a614d627f,2026-02-18 16:20:34.777241+00,Saging Saba,75,kg,Fruits
3c0c4cab-cc48-4ee0-83a2-2974ffdb034f,2026-02-18 16:16:38.525222+00,Pomelo (Davao),190,kg,Fruits
3c187199-3b77-4c19-ae03-94f316f18260,2026-02-19 01:27:29.349501+00,"Yellow Corn ",120,kg,Vegetables
3c9e6d22-06d6-460f-ad79-d55e9cadeaab,2026-02-19 01:25:09.970235+00,Saluyot,30,tali,Vegetables
3e504f6f-a999-4710-ae46-aff1c96d598a,2026-02-18 16:17:17.170299+00,Fuji Apple (XXL),55,pc,Fruits
40fa3621-b8a3-42b5-b079-5b4c07dedd73,2026-03-04 07:19:22.127046+00,Rice,68,Kg,Food
40fb9924-b7a4-4925-9f1f-0524dac942aa,2026-02-19 01:29:03.713026+00,Fresh Gata,50,pack,Food
4310609d-e567-4fac-9bd6-3d39da73d84c,2026-02-19 01:28:41.019464+00,Fresh Bagoong Isda,50,pack,Food
441f9199-67d5-4717-9def-0e622d056d64,2026-05-13 01:48:44.711823+00,Sineguelas,150,Kg,Fruits
4462cdff-12f6-46c9-926d-e1b7674f26b3,2026-02-18 16:32:50.066645+00,Patola,110,kg,Vegetables
45fff854-559f-470b-9487-45a711c64d48,2026-02-19 01:24:55.551752+00,Romaine Lettuce,220,kg,Vegetables
4676d6fa-7627-4fb3-849c-3a2aa36e2c5a,2026-03-11 08:47:25.698579+00,Basil,365,Kg,Vegetables
47252dea-1fd4-4158-975e-9b5267381cfa,2026-02-18 23:17:11.028451+00,Puso ng Saging,70,kg,Vegetables
47391005-49cd-4176-9fd0-0692226307fc,2026-05-15 03:50:11.0976+00,Uling,25,Pack,Food
478082ff-ca39-4ecd-a559-89a8d03397d7,2026-02-26 06:27:16.469947+00,Honey dew,135,Kg,Fruits
47d59b8b-739a-44a5-b84c-01928075f034,2026-02-19 01:31:29.392957+00,Tinapa Tamban,320,kg,Food
48ef5092-dade-4977-8633-cac246536980,2026-03-11 01:10:05.118044+00,Dahon kamote,25,Tali,Vegetables
